tau,tk_1,tk_2,t0_1,t0_2
1.22566,12.5,12.5,21,21
3.23,12.5,12.5,21,21
5.23423,12.5,12.5,21,21
7.2398,12.5,12.5,21.1,21.1
9.24261,12.6,12.5,21.1,21.1
11.2557,12.6,12.5,21.1,21
13.2605,12.6,12.6,21,21
15.2674,12.6,12.6,21,21
17.2727,12.7,12.6,21,21
19.2765,12.7,12.7,21,21
21.2792,12.7,12.7,21,21
23.2823,12.8,12.7,21,21
25.2885,12.8,12.8,20.9,20.9
27.2931,12.8,12.8,20.9,20.9
29.2978,12.9,12.8,20.9,20.9
31.3041,12.9,12.9,20.9,20.9
33.3098,12.9,12.9,20.9,20.9
35.3164,13,12.9,20.9,20.9
37.3216,13,13,20.9,20.9
39.3256,13,13,20.9,20.9
41.3282,13.1,13,20.9,20.9
43.3323,13.1,13.1,20.9,20.9
45.3384,13.1,13.1,20.9,20.9
47.3411,13.2,13.1,20.9,20.9
49.3456,13.2,13.1,20.9,20.9
51.3494,13.2,13.2,20.9,20.9
53.3549,13.3,13.2,20.9,20.9
55.36,13.3,13.2,20.8,20.8
57.3645,13.3,13.3,20.8,20.8
59.3704,13.4,13.3,20.8,20.8
61.375,13.4,13.3,20.8,20.8
63.3797,13.4,13.4,20.8,20.8
65.3848,13.5,13.4,20.8,20.8
67.39,13.5,13.4,20.8,20.8
69.3953,13.5,13.5,20.8,20.8
71.4005,13.5,13.5,20.8,20.8
73.4051,13.6,13.5,20.8,20.8
75.4096,13.6,13.6,20.8,20.8
77.4163,13.6,13.6,20.8,20.8
79.4193,13.7,13.6,20.8,20.8
81.4266,13.7,13.6,20.8,20.8
83.4316,13.7,13.7,20.8,20.8
85.4358,13.8,13.7,20.8,20.8
87.4397,13.8,13.7,20.8,20.8
89.4438,13.8,13.8,20.8,20.7
91.4515,13.8,13.8,20.7,20.7
93.4559,13.9,13.8,20.7,20.7
95.4583,13.9,13.9,20.7,20.7
97.4641,13.9,13.9,20.7,20.7
99.4684,14,13.9,20.7,20.7
101.473,14,14,20.7,20.7
103.478,14,14,20.7,20.7
105.485,14.1,14,20.7,20.7
107.489,14.1,14,20.7,20.7
109.494,14.1,14.1,20.7,20.7
111.5,14.2,14.1,20.7,20.7
113.506,14.2,14.1,20.8,20.7
115.51,14.2,14.2,20.8,20.7
117.514,14.2,14.2,20.7,20.7
119.517,14.3,14.2,20.7,20.7
121.521,14.3,14.3,20.7,20.7
123.527,14.3,14.3,20.7,20.7
125.534,14.4,14.3,20.7,20.7
127.538,14.4,14.3,20.7,20.7
129.541,14.4,14.4,20.7,20.7
131.544,14.5,14.4,20.7,20.7
133.552,14.5,14.4,20.7,20.7
135.556,14.5,14.5,20.7,20.7
137.562,14.5,14.5,20.7,20.7
139.565,14.6,14.5,20.7,20.7
141.569,14.6,14.6,20.7,20.7
143.574,14.6,14.6,20.7,20.7
145.581,14.7,14.6,20.7,20.7
147.585,14.7,14.6,20.6,20.6
149.591,14.7,14.7,20.6,20.6
151.595,14.8,14.7,20.6,20.6
153.599,14.8,14.7,20.6,20.6
155.605,14.8,14.8,20.6,20.6
157.611,14.8,14.8,20.6,20.6
159.615,14.9,14.8,20.6,20.6
161.619,14.9,14.9,20.6,20.6
163.624,14.9,14.9,20.6,20.6
165.63,15,14.9,20.6,20.5
167.633,15,14.9,20.5,20.5
169.639,15,15,20.5,20.5
171.641,15,15,20.5,20.5
173.645,15.1,15,20.5,20.5
175.651,15.1,15.1,20.5,20.5
177.656,15.1,15.1,20.5,20.5
179.659,15.2,15.1,20.5,20.5
181.663,15.2,15.1,20.5,20.5
183.669,15.2,15.2,20.5,20.5
185.674,15.3,15.2,20.5,20.5
187.68,15.3,15.2,20.5,20.5
189.684,15.3,15.3,20.5,20.5
191.69,15.3,15.3,20.5,20.5
193.699,15.4,15.3,20.5,20.5
195.702,15.4,15.3,20.5,20.5
197.706,15.4,15.4,20.5,20.5
