t,u_1,u_2
+74.20000E-03,+2.92552510E+00,+2.91368450E+00
+74.21000E-03,+2.92584871E+00,+2.91314631E+00
+74.22000E-03,+2.92605273E+00,+2.91330862E+00
+74.23000E-03,+2.92641153E+00,+2.91336842E+00
+74.24000E-03,+2.92563766E+00,+2.91330008E+00
+74.25000E-03,+2.92622861E+00,+2.91308651E+00
+74.26000E-03,+2.92620047E+00,+2.91330008E+00
+74.27000E-03,+2.92651705E+00,+2.91294983E+00
+74.28000E-03,+2.92595424E+00,+2.91306942E+00
+74.29000E-03,+2.92631303E+00,+2.91324028E+00
+74.30000E-03,+2.92608791E+00,+2.91355636E+00
+74.31000E-03,+2.92623565E+00,+2.91412018E+00
+74.32000E-03,+2.92591906E+00,+2.91365033E+00
+74.33000E-03,+2.92562359E+00,+2.91330008E+00
+74.34000E-03,+2.92543364E+00,+2.91311214E+00
+74.35000E-03,+2.92566580E+00,+2.91394079E+00
+74.36000E-03,+2.92617937E+00,+2.91324028E+00
+74.37000E-03,+2.92652409E+00,+2.91330008E+00
+74.38000E-03,+2.92731907E+00,+2.91349656E+00
+74.39000E-03,+2.92589093E+00,+2.91319757E+00
+74.40000E-03,+2.92527886E+00,+2.91342822E+00
+74.41000E-03,+2.92570097E+00,+2.91375284E+00
+74.42000E-03,+2.92529997E+00,+2.91320611E+00
+74.43000E-03,+2.92560952E+00,+2.91324882E+00
+74.44000E-03,+2.92566580E+00,+2.91291565E+00
+74.45000E-03,+2.92450499E+00,+2.91287294E+00
+74.46000E-03,+2.92611605E+00,+2.91353073E+00
+74.47000E-03,+2.92624971E+00,+2.91341967E+00
+74.48000E-03,+2.92598942E+00,+2.91380410E+00
+74.49000E-03,+2.92537033E+00,+2.91297546E+00
+74.50000E-03,+2.92587685E+00,+2.91372722E+00
+74.51000E-03,+2.92617233E+00,+2.91326591E+00
+74.52000E-03,+2.92599645E+00,+2.91330008E+00
+74.53000E-03,+2.92613715E+00,+2.91352219E+00
+74.54000E-03,+2.92627786E+00,+2.91357344E+00
+74.55000E-03,+2.92587685E+00,+2.91334279E+00
+74.56000E-03,+2.92576430E+00,+2.91290712E+00
+74.57000E-03,+2.92662962E+00,+2.91316339E+00
+74.58000E-03,+2.92610902E+00,+2.91335988E+00
+74.59000E-03,+2.92587685E+00,+2.91363325E+00
+74.60000E-03,+2.92580650E+00,+2.91334279E+00
+74.61000E-03,+2.92604570E+00,+2.91340259E+00
+74.62000E-03,+2.92559545E+00,+2.91294129E+00
+74.63000E-03,+2.92521554E+00,+2.91306943E+00
+74.64000E-03,+2.92645374E+00,+2.91324882E+00
+74.65000E-03,+2.92615826E+00,+2.91334279E+00
+74.66000E-03,+2.92552510E+00,+2.91287294E+00
+74.67000E-03,+2.92560248E+00,+2.91333425E+00
+74.68000E-03,+2.92563063E+00,+2.91327445E+00
+74.69000E-03,+2.92617938E+00,+2.91309505E+00
+74.70000E-03,+2.92636932E+00,+2.91330008E+00
+74.71000E-03,+2.92557434E+00,+2.91351365E+00
+74.72000E-03,+2.92534218E+00,+2.91330862E+00
+74.73000E-03,+2.92486380E+00,+2.91308651E+00
+74.74000E-03,+2.92555324E+00,+2.91354782E+00
+74.75000E-03,+2.92482158E+00,+2.91265939E+00
+74.76000E-03,+2.92617233E+00,+2.91315485E+00
+74.77000E-03,+2.92622861E+00,+2.91330008E+00
+74.78000E-03,+2.92543364E+00,+2.91330008E+00
+74.79000E-03,+2.92568690E+00,+2.91308651E+00
+74.80000E-03,+2.92584167E+00,+2.91330008E+00
+74.81000E-03,+2.92586982E+00,+2.91349656E+00
+74.82000E-03,+2.92649596E+00,+2.91337696E+00
+74.83000E-03,+2.92648188E+00,+2.91302671E+00
+74.84000E-03,+2.92577836E+00,+2.91311214E+00
+74.85000E-03,+2.92584167E+00,+2.91347093E+00
+74.86000E-03,+2.92627785E+00,+2.91335134E+00
