lambda,T
280.0000000,0.0024487
282.0000000,0.0050615
284.0000000,0.0026225
286.0000000,-0.0025713
288.0000000,0.0055462
290.0000000,0.0111141
292.0000000,0.0027372
294.0000000,0.0085443
296.0000000,0.0028886
298.0000000,0.0029389
300.0000000,0.0029920
302.0000000,0.0030525
304.0000000,0.0031179
306.0000000,0.0031915
308.0000000,0.0066002
310.0000000,0.0135653
312.0000000,0.0034430
314.0000000,0.0107636
316.0000000,0.0037288
318.0000000,0.0113526
320.0000000,-0.0050754
322.0000305,-0.0044856
324.0000305,0.0021208
326.0000305,-0.0131761
328.0000305,-0.0119459
330.0000305,-0.0187150
332.0000305,-0.0143229
334.0000305,-0.0014302
336.0000305,-0.0074145
338.0000305,-0.0094180
340.0000305,-0.0123853
342.0000305,-0.0106426
344.0000305,-0.0071136
346.0000305,-0.0059117
348.0000305,-0.0057956
350.0000305,0.0008896
352.0000305,0.0018562
354.0000305,-0.0018784
356.0000305,-0.0026287
358.0000305,-0.0008254
360.0000305,0.0016328
362.0000305,-0.0016199
364.0000305,-0.0008481
366.0000305,-0.0035311
368.0000305,-0.0028397
370.0000305,-0.0030527
372.0000305,-0.0056039
374.0000305,-0.0038813
376.0000305,-0.0035964
378.0000305,-0.0011307
380.0000305,-0.0040982
382.0000305,-0.0009193
384.0000305,-0.0009125
386.0000305,-0.0043294
388.0000305,-0.0032720
390.0000305,-0.0007904
392.0000305,0.0007297
394.0000305,0.0007135
396.0000305,0.0006861
398.0000305,0.0013283
400.0000305,0.0012759
402.0000305,0.0012337
404.0000305,0.0011951
406.0000305,-0.0011276
408.0000305,0.0011610
410.0000305,0.0010906
412.0000305,0.0010597
414.0000305,0.0010316
416.0000305,-0.0009914
418.0000305,0.0009554
420.0000305,0.0009558
422.0000305,-0.0009557
424.0000305,-0.0018386
426.0000305,-0.0018041
428.0000305,-0.0017738
430.0000305,-0.0008842
432.0000305,-0.0017381
434.0000305,-0.0008428
436.0000305,-0.0016896
438.0000305,-0.0008357
440.0000305,-0.0008257
442.0000305,-0.0016271
444.0000305,-0.0016311
446.0000305,-0.0024515
448.0000305,-0.0024542
450.0000305,-0.0032907
452.0000305,-0.0033175
454.0000305,-0.0016981
456.0000305,-0.0025415
458.0000305,-0.0008480
460.0000305,-0.0008771
462.0000305,-0.0009039
464.0000305,-0.0018678
466.0000305,-0.0009765
468.0000305,0.0010748
470.0000305,0.0016961
472.0000305,-0.0016555
474.0000305,0.0015752
476.0000305,0.0015759
478.0000305,0.0015404
