lambda,T
280.0000000,-0.0025157
282.0000000,0.0075922
284.0000000,0.0052141
286.0000000,0.0053072
288.0000000,0.0081800
290.0000000,0.0027006
292.0000000,0.0028021
294.0000000,0.0085440
296.0000000,0.0057788
298.0000000,0.0088064
300.0000000,0.0089759
302.0000000,0.0031192
304.0000000,0.0061912
306.0000000,0.0128654
308.0000000,0.0164431
310.0000000,0.0168936
312.0000000,0.0069232
314.0000000,0.0071776
316.0000000,0.0257973
318.0000000,0.0228615
320.0000000,-0.0049902
322.0000305,-0.0112140
324.0000305,-0.0019051
326.0000305,0.0075357
328.0000305,0.0102584
330.0000305,0.0109146
332.0000305,0.0128694
334.0000305,0.0132738
336.0000305,0.0149560
338.0000305,0.0188380
340.0000305,0.0122573
342.0000305,0.0074175
344.0000305,0.0081508
346.0000305,0.0019715
348.0000305,0.0057770
350.0000305,0.0009969
352.0000305,0.0018577
354.0000305,-0.0009543
356.0000305,-0.0052891
358.0000305,-0.0083913
360.0000305,-0.0065111
362.0000305,-0.0081450
364.0000305,0.0007710
366.0000305,-0.0035106
368.0000305,0.0019941
370.0000305,0.0120941
372.0000305,0.0126088
374.0000305,0.0116522
376.0000305,0.0095943
378.0000305,0.0077900
380.0000305,0.0041849
382.0000305,0.0068419
384.0000305,0.0026915
386.0000305,0.0034517
388.0000305,0.0032726
390.0000305,0.0038932
392.0000305,0.0007753
394.0000305,0.0014168
396.0000305,0.0020687
398.0000305,0.0013161
400.0000305,0.0076556
402.0000305,0.0074023
404.0000305,0.0071708
406.0000305,0.0080946
408.0000305,0.0067243
410.0000305,0.0054436
412.0000305,0.0063637
414.0000305,0.0072205
416.0000305,0.0090297
418.0000305,0.0117183
420.0000305,0.0134096
422.0000305,0.0187540
424.0000305,0.0275561
426.0000305,0.0378777
428.0000305,0.0531083
430.0000305,0.0748133
432.0000305,0.1065553
434.0000305,0.1486715
436.0000305,0.2101643
438.0000305,0.2910057
440.0000305,0.3987799
442.0000305,0.5410994
444.0000305,0.7236029
446.0000305,0.9536932
