lambda,T
280.0000000,3.7266154
282.0000000,5.4208636
284.0000000,7.5380249
286.0000000,10.1456976
288.0000000,13.2720480
290.0000000,16.8769855
292.0000000,20.8325253
294.0000000,25.0841351
296.0000000,29.6315346
298.0000000,34.3118553
300.0000000,39.0722923
302.0000000,43.8474770
304.0000000,48.4442101
306.0000000,52.6139641
308.0000000,56.7513390
310.0000000,60.3932915
312.0000000,63.6697731
314.0000000,66.7443542
316.0000000,69.4484406
318.0000000,71.8828735
320.0000000,73.9845200
322.0000305,75.9055328
324.0000305,77.5811081
326.0000305,79.1156998
328.0000305,80.4959793
330.0000305,81.6370392
332.0000305,82.6788559
334.0000305,83.5731735
336.0000305,84.3459702
338.0000305,84.9849167
340.0000305,85.5100098
342.0000305,86.0339890
344.0000305,86.4800720
346.0000305,86.8427811
348.0000305,87.1711426
350.0000305,87.4206619
352.0000305,87.6865234
354.0000305,87.9577942
356.0000305,88.1844635
358.0000305,88.3803635
360.0000305,88.4950562
362.0000305,88.6505127
364.0000305,88.8037643
366.0000305,88.8623962
368.0000305,88.9126587
370.0000305,88.9553680
372.0000305,89.0107727
374.0000305,89.0724564
376.0000305,89.0636292
378.0000305,89.0281448
380.0000305,89.0809250
382.0000305,89.2376328
384.0000305,89.2773895
386.0000305,89.3451843
388.0000305,89.4568787
390.0000305,89.5582809
392.0000305,89.6290054
394.0000305,89.5917130
396.0000305,89.6318588
398.0000305,89.7216415
400.0000305,89.7479630
402.0000305,89.7428970
404.0000305,89.7292328
406.0000305,89.7413483
408.0000305,89.7720108
410.0000305,89.7715683
412.0000305,89.7689285
414.0000305,89.7830353
416.0000305,89.8350067
418.0000305,89.8971024
420.0000305,89.9009399
422.0000305,89.9365387
424.0000305,89.9594955
426.0000305,89.9784241
428.0000305,89.9490204
430.0000305,89.9611664
432.0000305,89.9738312
434.0000305,89.9561996
436.0000305,89.9567490
438.0000305,89.9582901
440.0000305,89.9909897
442.0000305,90.0290451
444.0000305,90.1012878
446.0000305,90.0576553
448.0000305,90.0655441
450.0000305,90.1152573
452.0000305,90.1580734
454.0000305,90.2007065
456.0000305,90.2015991
458.0000305,90.1765671
460.0000305,90.1965485
462.0000305,90.2473450
464.0000305,90.2651749
466.0000305,90.2976837
468.0000305,90.2829285
470.0000305,90.2738724
472.0000305,90.3236465
474.0000305,90.3053131
476.0000305,90.3129425
478.0000305,90.3597565
480.0000305,90.3755875
482.0000305,90.3043747
484.0000305,90.3987045
486.0000305,90.3898773
488.0000305,90.3643265
490.0000305,90.3640823
492.0000305,90.4464340
494.0000305,90.4431915
496.0000305,90.4033966
498.0000305,90.5895309
500.0000305,90.4542923
502.0000305,90.4749603
504.0000305,90.4908829
506.0000305,90.5445557
508.0000305,90.5426559
510.0000305,90.5136185
512.0000000,90.5626373
514.0000000,90.5573730
516.0000000,90.6040573
518.0000000,90.5458450
520.0000000,90.5142822
522.0000000,90.5511475
524.0000000,90.5305557
526.0000000,90.5712585
528.0000000,90.5451584
530.0000000,90.5736160
532.0000000,90.5498276
534.0000000,90.5595703
536.0000000,90.5610809
538.0000000,90.6323166
540.0000000,90.6552200
542.0000000,90.6510086
544.0000000,90.6885986
546.0000000,90.6371384
548.0000000,90.6697922
550.0000000,90.6805649
552.0000000,90.6837845
554.0000000,90.7174454
556.0000000,90.7143250
558.0000000,90.6920471
560.0000000,90.6581497
562.0000000,90.6783524
564.0000000,90.7087936
566.0000000,90.7146301
568.0000000,90.7607040
570.0000000,90.7182007
572.0000000,90.7422943
574.0000000,90.7018890
576.0000000,90.7205887
578.0000000,90.7177811
580.0000000,90.7202988
582.0000000,90.6875610
584.0000000,90.7044983
586.0000000,90.6918716
588.0000000,90.7051315
590.0000000,90.7185898
592.0000000,90.7223358
594.0000000,90.7678223
596.0000000,90.7338943
598.0000000,90.7485886
600.0000000,90.7235184
602.0000000,90.7662735
604.0000000,90.7689896
606.0000000,90.7419968
608.0000000,90.7356415
610.0000000,90.7496719
612.0000000,90.7673492
614.0000000,90.7808533
616.0000000,90.7629395
618.0000000,90.8088150
620.0000000,90.8013535
622.0000000,90.8097687
624.0000000,90.8115234
626.0000000,90.8504257
628.0000000,90.8186111
630.0000000,90.8537521
