lambda,T
280.0000000,14.5573416
282.0000000,17.4874725
284.0000000,20.6113930
286.0000000,24.0126057
288.0000000,27.6880417
290.0000000,31.5584106
292.0000000,35.4011078
294.0000000,39.2624092
296.0000000,43.2128830
298.0000000,47.1027336
300.0000000,50.8132896
302.0000000,54.5060310
304.0000000,57.9031792
306.0000000,60.9943352
308.0000000,64.0074310
310.0000000,66.6178894
312.0000000,68.9729919
314.0000000,71.0908661
316.0000000,72.9903336
318.0000000,74.8149567
320.0000000,76.2363663
322.0000305,77.6212845
324.0000305,78.8404007
326.0000305,79.9778214
328.0000305,81.0356064
330.0000305,81.8613205
332.0000305,82.6297684
334.0000305,83.3304214
336.0000305,83.8609619
338.0000305,84.3320236
340.0000305,84.7498856
342.0000305,85.1009293
344.0000305,85.4193115
346.0000305,85.6585083
348.0000305,85.8726349
350.0000305,86.0540085
352.0000305,86.2155228
354.0000305,86.4567337
356.0000305,86.6221161
358.0000305,86.7508774
360.0000305,86.8395538
362.0000305,86.9391708
364.0000305,86.9551468
366.0000305,86.9837494
368.0000305,87.0084381
370.0000305,86.8398895
372.0000305,86.8869095
374.0000305,86.9137878
376.0000305,86.9027176
378.0000305,86.8886414
380.0000305,86.9582596
382.0000305,87.0661697
384.0000305,87.1007843
386.0000305,87.1327438
388.0000305,87.2404022
390.0000305,87.3274994
392.0000305,87.3597794
394.0000305,87.4007645
396.0000305,87.4294434
398.0000305,87.4513397
400.0000305,87.5199585
402.0000305,87.5234375
404.0000305,87.5305634
406.0000305,87.5592728
408.0000305,87.5987396
410.0000305,87.6482697
412.0000305,87.6374664
414.0000305,87.6517563
416.0000305,87.6762695
418.0000305,87.7513657
420.0000305,87.7901382
422.0000305,87.7927322
424.0000305,87.8348160
426.0000305,87.8568497
428.0000305,87.8453827
430.0000305,87.9148254
432.0000305,87.9078827
434.0000305,87.9091644
436.0000305,87.8879852
438.0000305,87.9110336
440.0000305,87.9662781
442.0000305,87.9750748
444.0000305,88.0775757
446.0000305,88.0877914
448.0000305,88.1301041
450.0000305,88.1414719
452.0000305,88.1798706
454.0000305,88.2332840
456.0000305,88.2423477
458.0000305,88.1882553
460.0000305,88.2230377
462.0000305,88.2845154
464.0000305,88.3078384
466.0000305,88.3838654
468.0000305,88.3862381
470.0000305,88.3368301
472.0000305,88.4082413
474.0000305,88.3838348
476.0000305,88.3790894
478.0000305,88.4509583
480.0000305,88.4805832
482.0000305,88.4750748
484.0000305,88.5323410
486.0000305,88.5193024
488.0000305,88.4804306
490.0000305,88.5287018
492.0000305,88.5647049
494.0000305,88.5999908
496.0000305,88.5007477
498.0000305,88.6808319
500.0000305,88.5509033
502.0000305,88.5784912
504.0000305,88.5684204
506.0000305,88.6362381
508.0000305,88.6348495
510.0000305,88.6656570
512.0000000,88.7689896
514.0000000,88.7966003
516.0000000,88.7584839
518.0000000,88.7543869
520.0000000,88.7204285
522.0000000,88.7477188
524.0000000,88.7040939
526.0000000,88.7102127
528.0000000,88.7243195
530.0000000,88.7918243
532.0000000,88.8322983
534.0000000,88.8670883
536.0000000,88.8924103
538.0000000,88.9282913
540.0000000,88.9245071
542.0000000,88.9816895
544.0000000,88.9702225
546.0000000,88.9815903
548.0000000,88.9842834
550.0000000,89.0160828
552.0000000,88.9699020
554.0000000,89.0225449
556.0000000,89.0073929
558.0000000,89.0106888
560.0000000,88.9629211
562.0000000,88.9902496
564.0000000,89.0360184
566.0000000,89.0179520
568.0000000,89.0999146
570.0000000,89.0967865
572.0000000,89.0813980
574.0000000,89.0217819
576.0000000,89.0301208
578.0000000,89.0113220
580.0000000,89.0522690
582.0000000,89.0688248
584.0000000,89.0749588
586.0000000,89.0764542
588.0000000,89.0843964
590.0000000,89.0871582
592.0000000,89.1112213
594.0000000,89.1359100
596.0000000,89.1035767
598.0000000,89.1376190
600.0000000,89.1437531
602.0000000,89.1434402
604.0000000,89.1300278
606.0000000,89.1092377
608.0000000,89.0937424
610.0000000,89.1521072
612.0000000,89.1717377
614.0000000,89.1538086
616.0000000,89.1473312
618.0000000,89.1794662
620.0000000,89.1903763
622.0000000,89.1953659
624.0000000,89.1589737
626.0000000,89.1909103
628.0000000,89.2052536
630.0000000,89.2197266
632.0000000,89.2552109
634.0000000,89.2009048
636.0000000,89.1651764
638.0000000,89.2299728
640.0000000,89.2879791
642.0000000,89.2413635
644.0000610,89.2162170
646.0000610,89.2641449
648.0000610,89.2657013
650.0000610,89.2958984
652.0000610,89.2968979
654.0000610,89.3090134
656.0000610,89.2569275
658.0000610,89.2517776
660.0000610,89.3259964
662.0000610,89.2650604
664.0000610,89.2169037
666.0000610,89.2210464
668.0000610,89.2442551
670.0000610,89.2889023
672.0000610,89.3576736
674.0000610,89.2954788
676.0000610,89.2389755
678.0000610,89.2742691
680.0000610,89.2479477
682.0000610,89.2857819
684.0000610,89.2551727
686.0000610,89.3070221
688.0000610,89.3417130
690.0000610,89.3707733
692.0000610,89.3532867
694.0000610,89.3662949
696.0000610,89.4085159
698.0000610,89.3515930
700.0000610,89.3394165
702.0000610,89.3949280
704.0000610,89.4378738
706.0000610,89.4479218
708.0000610,89.4034576
710.0000610,89.3601151
712.0000610,89.4060593
714.0000610,89.4536819
716.0000610,89.4326859
718.0000610,89.4369583
720.0000610,89.4286804
722.0000610,89.4520340
724.0000610,89.4172440
726.0000610,89.4585571
728.0000610,89.4600525
730.0000610,89.5028610
732.0000610,89.5239563
734.0000610,89.4813766
736.0000610,89.4895096
738.0000610,89.4643784
740.0000610,89.4833527
742.0000610,89.4906845
744.0000610,89.5145645
746.0000610,89.5587540
748.0000610,89.4620285
750.0000610,89.4951096
752.0000610,89.5166931
754.0000610,89.5009918
756.0000610,89.5041580
758.0000610,89.5403519
760.0000610,89.5509949
762.0000610,89.5451813
764.0000610,89.4918900
766.0000610,89.4985428
768.0000610,89.5050354
770.0000610,89.5313339
772.0000610,89.5011597
774.0000610,89.5196304
776.0000610,89.5691071
778.0000610,89.5591888
780.0000610,89.5240097
782.0000610,89.5647812
784.0000610,89.6099854
786.0000610,89.5433273
788.0000610,89.5312500
790.0000610,89.5158615
792.0000610,89.5362091
794.0000610,89.5503540
796.0000610,89.5588608
798.0000610,89.5883331
800.0000610,89.5930405
802.0000610,89.5607071
804.0000610,89.5602036
806.0000610,89.5632706
808.0000610,89.5596008
810.0000610,89.5753937
812.0000610,89.6007385
814.0000610,89.6141052
816.0000610,89.6175003
818.0000610,89.5569687
820.0000610,89.5199890
822.0000610,89.4835358
824.0000610,89.4778290
826.0000610,89.4572372
828.0000610,89.5125809
830.0000610,89.5407410
832.0000610,89.5516281
834.0000610,89.5526276
836.0000610,89.6030273
838.0000610,89.6232071
840.0000610,89.6858292
842.0000610,89.6466064
844.0000610,89.6314926
846.0000610,89.5935974
848.0000610,89.6076431
850.0000610,89.6042175
852.0000610,89.6100235
854.0000610,89.5966034
856.0000610,89.5521469
858.0000610,89.5367355
860.0000610,89.5704956
862.0000610,89.5058823
864.0000610,89.4927521
866.0000610,89.4877243
868.0000610,89.4928055
870.0000610,89.4790726
872.0000610,89.4635162
874.0000610,89.4391632
876.0000610,89.4107361
878.0000610,89.4124222
880.0000610,89.4104767
882.0000610,89.4080811
884.0000610,89.4139175
886.0000610,89.4037781
888.0000610,89.3928680
890.0000610,89.3749390
892.0000610,89.3410187
894.0000610,89.3338852
896.0000610,89.3839569
898.0000610,89.4046249
900.0000610,89.4450531
902.0000610,89.4345016
904.0000610,89.4211502
906.0000610,89.4429016
908.0000610,89.4287796
910.0000610,89.3856125
912.0000610,89.3946838
914.0000610,89.4166183
916.0000610,89.3921967
918.0000610,89.3931351
920.0000610,89.3879471
922.0000610,89.3953934
924.0000610,89.4021912
926.0000610,89.4261169
928.0000610,89.4485245
930.0000610,89.4199905
932.0000610,89.3697128
934.0000610,89.4134369
936.0000610,89.4388962
938.0000610,89.4417801
940.0000610,89.4116898
942.0000610,89.4313583
944.0000610,89.4558258
946.0000610,89.4358673
948.0000610,89.4663620
950.0000610,89.4891281
952.0000610,89.4675903
954.0000610,89.4658508
956.0000610,89.4762573
958.0000610,89.4554749
960.0000610,89.4269180
962.0000610,89.4629517
964.0000610,89.4585648
966.0000610,89.4682312
968.0000610,89.4949722
970.0000610,89.4855270
972.0000610,89.5028839
