lambda,T
280.0000000,0.0098483
282.0000000,0.0101230
284.0000000,0.0129266
286.0000000,0.0106537
288.0000000,0.0108522
290.0000000,0.0082588
292.0000000,0.0140507
294.0000000,0.0113514
296.0000000,0.0057783
298.0000000,0.0029493
300.0000000,0.0119031
302.0000000,0.0031518
304.0000000,0.0123363
306.0000000,0.0160091
308.0000000,0.0064496
310.0000000,0.0135664
312.0000000,0.0139201
314.0000000,0.0035931
316.0000000,0.0184198
318.0000000,0.0077041
320.0000000,0.0048480
322.0000305,0.0224281
324.0000305,0.0388164
326.0000305,0.0860899
328.0000305,0.1591615
330.0000305,0.3041451
332.0000305,0.5770314
334.0000305,1.0240889
336.0000305,1.6768308
338.0000305,2.6013997
340.0000305,3.8324049
342.0000305,5.5092392
344.0000305,7.7633200
346.0000305,10.6689425
348.0000305,14.1205959
350.0000305,17.7522717
352.0000305,20.9501209
354.0000305,23.5811539
356.0000305,26.0244370
358.0000305,29.1066055
360.0000305,33.4487839
362.0000305,39.5083618
364.0000305,47.1975822
366.0000305,55.5082664
368.0000305,62.1911964
370.0000305,64.9940720
372.0000305,63.6629868
374.0000305,60.0165367
376.0000305,56.1200333
378.0000305,53.0814476
380.0000305,51.5229301
382.0000305,51.5692635
384.0000305,53.2091980
386.0000305,56.4201393
388.0000305,61.0501823
390.0000305,66.8034515
392.0000305,72.9774475
394.0000305,78.9041901
396.0000305,83.5669708
398.0000305,85.9069519
400.0000305,85.7020950
402.0000305,83.1955719
404.0000305,79.1721954
406.0000305,74.5567856
408.0000305,70.0474548
410.0000305,66.0160217
412.0000305,62.6558113
414.0000305,60.3122673
416.0000305,58.8046913
418.0000305,58.1927071
420.0000305,58.3103638
422.0000305,59.1121140
424.0000305,60.6155014
426.0000305,62.6814842
428.0000305,65.2341461
430.0000305,68.3537140
432.0000305,71.7826614
434.0000305,75.3781357
436.0000305,78.9737778
438.0000305,82.3474121
440.0000305,85.2162476
442.0000305,87.1560822
444.0000305,88.1195374
446.0000305,87.9526672
448.0000305,86.8480530
450.0000305,84.9628220
452.0000305,82.5702286
454.0000305,79.8748550
456.0000305,77.0108185
458.0000305,74.1882095
460.0000305,71.5577011
462.0000305,69.2268753
464.0000305,67.1353073
466.0000305,65.3590698
468.0000305,63.8777809
470.0000305,62.8273010
472.0000305,62.1521378
474.0000305,61.7367287
476.0000305,61.6549644
478.0000305,61.9407310
480.0000305,62.4609756
482.0000305,63.2520256
484.0000305,64.3245544
486.0000305,65.5599747
488.0000305,67.0426331
490.0000305,68.7619324
492.0000305,70.7536392
494.0000305,72.8267899
496.0000305,74.9821472
498.0000305,77.5928116
500.0000305,79.4601059
502.0000305,81.6082687
504.0000305,83.5301361
506.0000305,85.2323761
508.0000305,86.7239685
510.0000305,87.8942566
512.0000000,88.7330322
514.0000000,89.1010132
516.0000000,89.1400909
518.0000000,88.7655334
520.0000000,88.0145035
522.0000000,87.0118561
524.0000000,85.7006454
526.0000000,84.2446899
528.0000000,82.6296997
530.0000000,80.9248505
532.0000000,79.1949081
534.0000000,77.5617981
536.0000000,75.8994675
538.0000000,74.3451691
540.0000000,72.8608246
542.0000000,71.4504242
544.0000000,70.1634521
546.0000000,68.9709625
548.0000000,67.9208603
550.0000000,67.0047150
552.0000000,66.1480865
554.0000000,65.4860458
556.0000000,64.9640198
558.0000000,64.5639572
560.0000000,64.2789459
562.0000000,64.1718140
564.0000000,64.1673203
566.0000000,64.2492142
568.0000000,64.5236969
570.0000000,64.8014679
572.0000000,65.2153625
574.0000000,65.7261658
576.0000000,66.3490143
578.0000000,67.0674591
580.0000000,67.9062881
582.0000000,68.8382950
584.0000000,69.8177643
586.0000000,70.8829575
588.0000000,71.9526367
590.0000000,73.1164093
592.0000000,74.3073578
594.0000000,75.5656204
596.0000000,76.8230133
598.0000000,78.0670547
600.0000000,79.3055267
602.0000000,80.5570679
604.0000000,81.8158493
606.0000000,83.0441513
608.0000000,84.1601181
610.0000000,85.2013779
612.0000000,86.1509476
614.0000000,87.0044174
616.0000000,87.7781372
618.0000000,88.3597488
620.0000000,88.9160767
622.0000000,89.2582321
624.0000000,89.4551239
626.0000000,89.5875931
628.0000000,89.5464783
630.0000000,89.3649292
632.0000000,89.0395966
634.0000000,88.5729599
636.0000000,88.0053787
638.0000000,87.4296036
640.0000000,86.7331009
642.0000000,85.9182968
644.0000610,85.0765305
646.0000610,84.2043991
648.0000610,83.2672577
650.0000610,82.3497009
652.0000610,81.4022903
654.0000610,80.4189072
656.0000610,79.3863068
658.0000610,78.3185120
660.0000610,77.3819275
662.0000610,76.3533401
