lam,Sum,HeI,HeII
584,8.216e-14,8.216e-14,
584.2,4.740e-12,4.740e-12,
584.3,3.301e-11,3.301e-11,
584.4,2.169e-10,2.169e-10,
584.6,7.874e-9,7.874e-9,
584.7,4.349e-8,4.349e-8,
584.8,2.267e-7,2.267e-7,
584.9,1.115e-6,1.115e-6,
585.1,2.268e-5,2.268e-5,
585.2,9.377e-5,9.377e-5,
585.3,3.658e-4,3.658e-4,
585.5,4.681e-3,4.681e-3,
585.6,1.535e-2,1.535e-2,
585.7,4.750e-2,4.750e-2,
585.8,1.387e-1,1.387e-1,
586,9.944e-1,9.944e-1,
586.1,2.441e+0,2.441e+0,
586.2,5.654e+0,5.654e+0,
586.4,2.550e+1,2.550e+1,
586.5,4.964e+1,4.964e+1,
586.6,9.120e+1,9.120e+1,
586.7,1.581e+2,1.581e+2,
586.9,3.995e+2,3.995e+2,
587,5.822e+2,5.822e+2,
587.1,8.007e+2,8.007e+2,
587.3,1.273e+3,1.273e+3,
587.4,1.471e+3,1.471e+3,
587.5,1.605e+3,1.605e+3,
587.6,1.652e+3,1.652e+3,
587.8,1.471e+3,1.471e+3,
587.9,1.273e+3,1.273e+3,
588,1.039e+3,1.039e+3,
588.2,5.822e+2,5.822e+2,
588.3,3.995e+2,3.995e+2,
588.4,2.587e+2,2.587e+2,
588.6,9.120e+1,9.120e+1,
588.7,4.964e+1,4.964e+1,
588.8,2.550e+1,2.550e+1,
588.9,1.236e+1,1.236e+1,
589.1,2.441e+0,2.441e+0,
589.2,9.944e-1,9.944e-1,
589.3,3.823e-1,3.823e-1,
589.5,4.750e-2,4.750e-2,
589.6,1.535e-2,1.535e-2,
589.7,4.681e-3,4.681e-3,
589.8,1.347e-3,1.347e-3,
590,9.377e-5,9.377e-5,
590.1,2.268e-5,2.268e-5,
590.2,5.177e-6,5.177e-6,
590.4,2.267e-7,2.267e-7,
590.5,4.349e-8,4.349e-8,
590.6,7.874e-9,7.874e-9,
590.7,1.345e-9,1.345e-9,
590.9,3.301e-11,3.301e-11,
591,4.740e-12,4.740e-12,
591.1,6.424e-13,6.424e-13,
652,1.106e-32,,1.106e-32
652.2,4.151e-31,,4.151e-31
652.3,2.372e-30,,2.372e-30
652.4,1.293e-29,,1.293e-29
652.6,3.346e-28,,3.346e-28
652.7,1.588e-27,,1.588e-27
652.8,7.189e-27,,7.189e-27
652.9,3.108e-26,,3.108e-26
653.1,5.052e-25,,5.052e-25
653.2,1.900e-24,,1.900e-24
653.3,6.819e-24,,6.819e-24
653.5,7.643e-23,,7.643e-23
653.6,2.387e-22,,2.387e-22
653.7,7.113e-22,,7.113e-22
653.8,2.024e-21,,2.024e-21
654,1.425e-20,,1.425e-20
654.1,3.528e-20,,3.528e-20
654.2,8.334e-20,,8.334e-20
654.4,4.047e-19,,4.047e-19
654.5,8.317e-19,,8.317e-19
654.6,1.632e-18,,1.632e-18
654.7,3.056e-18,,3.056e-18
654.9,9.321e-18,,9.321e-18
655,1.518e-17,,1.518e-17
655.1,2.361e-17,,2.361e-17
655.3,4.967e-17,,4.967e-17
655.4,6.719e-17,,6.719e-17
655.5,8.675e-17,,8.675e-17
655.6,1.069e-16,,1.069e-16
655.8,1.413e-16,,1.413e-16
655.9,1.515e-16,,1.515e-16
656,1.551e-16,,1.551e-16
656.2,1.413e-16,,1.413e-16
656.3,1.258e-16,,1.258e-16
656.4,1.069e-16,,1.069e-16
656.6,6.719e-17,,6.719e-17
656.7,4.967e-17,,4.967e-17
656.8,3.505e-17,,3.505e-17
656.9,2.361e-17,,2.361e-17
657.1,9.321e-18,,9.321e-18
657.2,5.462e-18,,5.462e-18
657.3,3.056e-18,,3.056e-18
657.5,8.317e-19,,8.317e-19
657.6,4.047e-19,,4.047e-19
657.7,1.880e-19,,1.880e-19
657.8,8.334e-20,,8.334e-20
658,1.425e-20,,1.425e-20
658.1,5.497e-21,,5.497e-21
658.2,2.024e-21,,2.024e-21
658.4,2.387e-22,,2.387e-22
658.5,7.643e-23,,7.643e-23
658.6,2.337e-23,,2.337e-23
658.7,6.819e-24,,6.819e-24
658.9,5.052e-25,,5.052e-25
659,1.283e-25,,1.283e-25
659.1,3.108e-26,,3.108e-26
659.3,1.588e-27,,1.588e-27
659.4,3.346e-28,,3.346e-28
659.5,6.734e-29,,6.734e-29
659.6,1.293e-29,,1.293e-29
