lam,Sum,NeI,NeII
515.3,1.892e+2,1.892e+2,
515.4,1.775e+2,1.775e+2,
515.5,1.553e+2,1.553e+2,
515.7,9.634e+1,9.634e+1,
515.8,6.835e+1,6.835e+1,
515.9,4.523e+1,4.523e+1,
516,2.792e+1,2.792e+1,
516.2,8.628e+0,8.628e+0,
516.3,4.319e+0,4.319e+0,
516.4,2.015e+0,2.015e+0,
516.6,3.549e-1,3.549e-1,
516.7,1.339e-1,1.339e-1,
516.8,4.703e-2,4.703e-2,
516.9,1.537e-2,1.537e-2,
517.1,1.326e-3,1.326e-3,
517.2,3.620e-4,3.620e-4,
517.3,1.490e-4,1.490e-4,
517.5,1.075e-3,1.075e-3,
517.6,3.920e-3,3.920e-3,
517.7,1.332e-2,1.332e-2,
517.8,4.206e-2,4.206e-2,
518,3.354e-1,3.354e-1,
518.1,8.476e-1,8.476e-1,
518.2,1.989e+0,1.989e+0,
518.4,8.764e+0,8.764e+0,
518.5,1.646e+1,1.646e+1,
518.6,2.871e+1,2.871e+1,
518.7,4.650e+1,4.650e+1,
518.9,9.766e+1,9.766e+1,
519,1.267e+2,1.267e+2,
519.1,1.528e+2,1.528e+2,
519.3,1.795e+2,1.795e+2,
519.4,1.765e+2,1.765e+2,
519.5,1.650e+2,1.650e+2,
519.7,1.392e+2,1.392e+2,
519.8,1.375e+2,1.375e+2,
519.9,1.488e+2,1.488e+2,
520,1.731e+2,1.731e+2,
520.2,2.432e+2,2.432e+2,
520.3,2.753e+2,2.753e+2,
520.4,2.967e+2,2.967e+2,
520.6,2.961e+2,2.961e+2,
520.7,2.755e+2,2.755e+2,
520.8,2.457e+2,2.457e+2,
520.9,2.104e+2,2.104e+2,
521.1,1.367e+2,1.367e+2,
521.2,1.031e+2,1.031e+2,
521.3,7.406e+1,7.406e+1,
521.5,3.229e+1,3.229e+1,
521.6,1.944e+1,1.944e+1,
521.7,1.097e+1,1.097e+1,
521.8,5.781e+0,5.781e+0,
522,1.302e+0,1.302e+0,
522.1,5.551e-1,5.551e-1,
522.2,2.202e-1,2.202e-1,
522.4,2.785e-2,2.785e-2,
522.5,8.874e-3,8.874e-3,
522.6,2.628e-3,2.628e-3,
522.7,7.230e-4,7.230e-4,
522.9,4.389e-5,4.389e-5,
