lam,int
515.95,2971.0
516.03,2245.0
516.10,1792.0
516.17,2119.0
516.25,2489.0
516.32,2300.4
516.39,2156.8
516.46,2228.1
516.54,2305.0
516.61,2311.2
516.68,2245.3
516.75,2270.4
516.83,2334.6
516.90,2296.1
516.97,2326.7
517.05,2284.5
517.12,2322.6
517.19,2362.1
517.26,2295.5
517.34,2244.7
517.41,2309.7
517.48,2294.5
517.55,2207.9
517.63,2253.1
517.70,2320.3
517.77,2301.8
517.84,2191.7
517.92,2233.7
517.99,2272.5
518.06,2220.8
518.14,2168.9
518.21,2375.9
518.28,2551.8
518.35,2471.5
518.43,2455.6
518.50,2414.2
518.57,2543.1
518.64,2546.6
518.72,2477.2
518.79,2532.3
518.86,2715.6
518.93,2718.6
519.01,2415.6
519.08,2373.4
519.15,2421.6
519.22,2387.4
519.30,2292.1
519.37,2284.6
519.44,2403.0
519.51,2425.8
519.59,2286.9
519.66,2213.6
519.73,2254.0
519.80,2262.3
519.88,2199.6
519.95,2229.6
520.02,2337.4
520.09,2406.8
520.17,2316.9
520.24,2247.4
520.31,2379.5
520.38,2365.2
520.46,2320.1
520.53,2289.4
520.60,2416.7
520.67,2510.8
520.75,2441.3
520.82,2529.0
520.89,2529.6
520.96,2482.6
521.04,2475.2
521.11,2437.2
521.18,2493.9
521.25,2514.3
521.33,2542.9
521.40,2466.1
521.47,2463.9
521.54,2480.9
521.62,2342.7
521.69,2438.3
521.76,2537.3
521.83,2533.1
521.90,2423.0
521.98,2417.9
522.05,2465.7
522.12,2420.7
522.19,2388.5
522.27,2392.3
522.34,2426.6
522.41,2403.6
522.48,2284.1
522.56,2237.9
522.63,2290.8
522.70,2270.5
522.77,2274.3
522.84,2263.4
522.92,2469.9
522.99,2530.6
523.06,2493.0
523.13,2557.6
523.21,2513.4
523.28,2542.4
523.35,2412.1
523.42,2576.2
523.50,2719.5
523.57,2769.7
523.64,2699.8
523.71,2509.6
523.78,2566.9
523.86,2512.8
523.93,2533.4
524.00,2510.4
524.07,2659.6
524.15,2745.4
524.22,2571.9
524.29,2557.8
524.36,2523.9
524.43,2507.2
524.51,2498.0
524.58,2493.5
524.65,2551.8
524.72,2457.9
524.79,2457.0
524.87,2439.3
524.94,2407.4
525.01,2425.9
525.08,2285.6
525.16,2372.2
525.23,2403.9
525.30,2377.6
525.37,2303.4
525.44,2294.7
525.52,2485.4
525.59,2404.8
525.66,2412.8
525.73,2370.5
525.80,2402.0
525.88,2378.4
525.95,2289.0
526.02,2378.9
526.09,2362.2
526.17,2396.1
526.24,2222.3
526.31,2254.3
526.38,2361.4
526.45,2288.0
526.53,2309.9
526.60,2287.2
526.67,2455.5
526.74,2395.9
526.81,2265.5
526.89,2309.1
526.96,2368.4
527.03,2415.5
527.10,2225.4
527.17,2258.8
527.25,2308.1
527.32,2239.1
527.39,2165.8
527.46,2098.7
527.53,2182.2
527.61,2200.9
527.68,2130.0
527.75,2097.7
527.82,2174.8
527.89,2156.6
527.97,2060.0
528.04,2170.8
528.11,2293.9
528.18,2259.4
528.25,2214.1
528.32,2264.4
528.40,2381.7
528.47,2449.1
528.54,2454.1
528.61,2492.9
528.68,2580.6
528.76,2566.1
528.83,2431.3
528.90,2398.0
528.97,2545.4
529.04,2566.7
529.12,2419.5
529.19,2352.5
529.26,2374.5
529.33,2383.7
529.40,2312.5
529.47,2359.6
529.55,2443.7
529.62,2497.4
529.69,2461.1
529.76,2431.1
529.83,2501.2
529.91,2477.0
529.98,2431.3
530.05,2375.4
530.12,2410.9
530.19,2425.0
530.26,2384.4
530.34,2314.1
530.41,2355.6
530.48,2385.4
530.55,2318.3
530.62,2295.3
530.70,2380.8
530.77,2384.3
530.84,2348.9
530.91,2330.9
530.98,2340.7
531.05,2353.3
531.13,2282.0
531.20,2309.9
531.27,2277.2
531.34,2282.5
531.41,2243.5
531.48,2336.6
531.56,2359.6
531.63,2347.2
531.70,2332.2
531.77,2332.6
531.84,2475.3
531.91,2437.2
531.99,2375.6
532.06,2320.3
532.13,2429.9
532.20,2418.4
532.27,2388.6
532.34,2429.7
532.42,2445.3
532.49,2450.3
532.56,2315.3
532.63,2274.1
532.70,2291.0
532.77,2354.3
532.85,2389.9
532.92,2380.2
532.99,2383.0
533.06,2330.7
533.13,2328.6
533.20,2416.4
533.28,2476.3
533.35,2457.8
533.42,2374.0
533.49,2371.5
533.56,2375.6
533.63,2314.4
533.70,2222.5
533.78,2221.3
533.85,2270.5
533.92,2237.0
533.99,2119.6
534.06,2143.6
534.13,2284.8
534.20,2272.6
534.28,2250.6
534.35,2272.1
534.42,2360.0
534.49,2425.1
534.56,2377.5
534.63,2352.0
534.71,2371.5
534.78,2309.3
534.85,2197.6
534.92,2132.8
534.99,2223.7
535.06,2233.9
535.13,2136.2
535.21,2087.1
535.28,2092.3
535.35,2143.6
535.42,2072.8
535.49,2086.6
535.56,2144.7
535.63,2131.2
535.71,2066.5
535.78,2053.1
535.85,2253.8
535.92,2251.3
535.99,2237.9
536.06,2251.0
536.13,2404.3
536.21,2489.7
536.28,2388.4
536.35,2499.6
536.42,2571.4
536.49,2638.8
536.56,2497.9
536.63,2391.4
536.70,2392.7
536.78,2406.6
536.85,2354.6
536.92,2226.9
536.99,2190.2
537.06,2248.7
537.13,2170.6
537.20,2074.6
537.27,2140.8
537.35,2159.5
537.42,2111.8
537.49,2123.6
537.56,2174.9
537.63,2114.3
537.70,2071.3
537.77,2069.0
537.84,2084.9
537.92,2128.4
537.99,2134.5
538.06,2144.5
538.13,2255.3
538.20,2254.6
538.27,2222.2
538.34,2255.6
538.41,2319.0
538.49,2334.9
538.56,2351.3
538.63,2382.0
538.70,2395.8
538.77,2473.9
538.84,2346.4
538.91,2284.2
538.98,2374.6
539.06,2347.9
539.13,2389.7
539.20,2454.9
539.27,2551.7
539.34,2507.6
539.41,2419.5
539.48,2409.6
539.55,2391.8
539.62,2428.0
539.70,2340.6
539.77,2395.1
539.84,2512.1
539.91,2547.7
539.98,2482.9
540.05,2471.6
540.12,2549.2
540.19,2482.8
540.26,2415.4
540.34,2410.2
540.41,2477.6
540.48,2451.9
540.55,2402.7
540.62,2350.5
540.69,2344.4
540.76,2312.3
540.83,2169.6
540.90,2175.9
540.97,2280.1
541.05,2299.4
541.12,2212.6
541.19,2202.4
541.26,2254.1
541.33,2233.2
541.40,2096.0
541.47,1994.6
541.54,2030.8
541.61,2013.8
541.68,1959.0
541.76,1978.4
541.83,2054.3
541.90,2070.9
541.97,2073.1
542.04,2193.8
542.11,2269.1
542.18,2279.7
542.25,2349.9
542.32,2379.0
542.39,2464.1
542.46,2467.2
542.54,2405.5
