int,lam,Em,Amngm
1.013869231E+004,429.412450,4.371,0.71
1.442791667E+004,429.923500,5.308,5.2
3.040440000E+004,430.790200,4.434,5.9
6.714000000E+003,431.508430,5.070,1.5
3.215924000E+004,432.576160,4.473,6.1
4.924692308E+003,433.704600,4.415,0.23
4.252454545E+003,435.273440,5.070,1.0
2.738333333E+003,436.977150,5.882,2.2
3.912500000E+003,437.592980,2.832,0.0094
4.076423077E+004,438.354470,4.312,7.7
2.867450000E+004,440.475010,4.371,4.4
1.795200000E+004,441.512220,4.415,2.8
3.492000000E+003,442.730960,2.851,0.0099
6.587428571E+003,444.233870,4.988,1.1
4.162909091E+003,444.771700,5.009,1.1
5.010153846E+003,445.911730,4.955,1.0
5.966562500E+003,446.655150,5.606,5.3
6.591000000E+003,447.601830,5.614,5.4
5.679600000E+003,448.216960,2.875,0.0053
6.568666667E+003,449.456290,4.955,1.22
1.162139286E+004,452.861390,4.913,1.8
