lam	int
299.32248	266.000000000
299.32852	286.000000000
299.33453	304.000000000
299.34058	270.333312988
299.34659	279.333312988
299.35263	272.333312988
299.35864	295.000000000
299.36469	286.000000000
299.37070	284.333312988
299.37671	267.333312988
299.38275	291.333312988
299.38876	282.666656494
299.39481	279.333312988
299.40082	267.000000000
299.40686	264.666656494
299.41287	278.333312988
299.41891	306.666656494
299.42493	285.666656494
299.43094	260.000000000
299.43698	282.666656494
299.44299	260.666656494
299.44904	293.000000000
299.45505	286.000000000
299.46106	281.000000000
299.46710	274.666656494
299.47311	284.000000000
299.47916	299.000000000
299.48517	313.000000000
299.49118	280.333312988
299.49722	270.000000000
299.50323	296.000000000
299.50925	282.666656494
299.51529	272.666656494
299.52130	287.666656494
299.52734	262.666656494
299.53336	309.333312988
299.53937	301.666656494
299.54541	267.333312988
299.55142	282.000000000
299.55743	279.666656494
299.56348	264.333312988
299.56949	277.000000000
299.57550	295.666656494
299.58154	279.000000000
299.58755	286.333312988
299.59357	293.666656494
299.59961	294.666656494
299.60562	278.666656494
299.61163	296.000000000
299.61768	284.333312988
299.62369	294.000000000
299.62970	282.333312988
299.63571	309.666656494
299.64175	303.666656494
299.64777	290.333312988
299.65378	299.333312988
299.65982	282.333312988
299.66583	269.666656494
299.67184	270.333312988
299.67786	289.000000000
299.68390	306.333312988
299.68991	268.000000000
299.69592	286.333312988
299.70197	277.000000000
299.70798	260.333312988
299.71399	284.333312988
299.72000	281.333312988
299.72604	264.333312988
299.73206	278.333312988
299.73807	305.666656494
299.74408	277.333312988
299.75009	311.000000000
299.75613	299.000000000
299.76215	303.666656494
299.76816	285.666656494
299.77417	297.333312988
299.78021	270.000000000
299.78622	283.666656494
299.79224	267.000000000
299.79825	281.666656494
299.80426	294.333312988
299.81030	274.000000000
299.81631	271.333312988
299.82233	270.666656494
299.82834	302.000000000
299.83435	290.666656494
299.84036	271.333312988
299.84641	268.000000000
299.85242	295.000000000
299.85843	316.000000000
299.86444	290.333312988
299.87045	270.000000000
299.87646	267.000000000
299.88251	273.666656494
299.88852	284.000000000
299.89453	301.666656494
299.90054	258.666656494
299.90656	271.333312988
299.91257	269.333312988
299.91858	303.333312988
299.92462	290.000000000
299.93063	288.666656494
299.93665	258.333312988
299.94266	254.666656494
299.94867	294.000000000
299.95468	286.666656494
299.96069	282.000000000
299.96671	286.333312988
299.97272	298.333312988
299.97876	291.000000000
299.98477	298.000000000
299.99078	301.666656494
299.99680	266.666656494
300.00281	293.000000000
300.00882	308.000000000
300.01483	317.666656494
300.02084	278.000000000
300.02686	292.666656494
300.03287	293.333312988
300.03888	281.666656494
300.04489	283.000000000
300.05090	287.000000000
300.05692	274.000000000
300.06293	286.666656494
300.06897	265.666656494
300.07498	287.000000000
300.08099	264.000000000
300.08701	271.666656494
300.09302	268.000000000
300.09903	291.666656494
300.10504	308.333312988
300.11105	291.333312988
300.11707	278.000000000
300.12308	289.666656494
300.12909	292.000000000
300.13510	287.000000000
300.14111	279.000000000
300.14713	277.333312988
300.15314	267.666656494
300.15915	285.000000000
300.16516	272.666656494
300.17117	268.666656494
300.17719	289.333312988
300.18320	274.666656494
300.18921	282.666656494
300.19522	273.000000000
300.20120	266.000000000
300.20721	262.000000000
300.21323	269.333312988
300.21924	276.333312988
300.22525	281.666656494
300.23126	299.333312988
300.23727	282.000000000
300.24329	294.000000000
300.24930	296.666656494
300.25531	269.000000000
300.26132	285.000000000
300.26733	291.666656494
300.27335	292.000000000
300.27936	284.333312988
300.28537	276.000000000
300.29135	275.666656494
300.29736	277.666656494
300.30338	290.333312988
300.30939	296.000000000
300.31540	304.000000000
300.32141	294.000000000
300.32742	287.666656494
300.33344	275.666656494
300.33945	294.666656494
300.34543	311.000000000
300.35144	307.333312988
300.35745	277.000000000
300.36346	286.666656494
300.36948	290.333312988
300.37549	285.333312988
300.38150	300.333312988
300.38751	303.333312988
300.39349	297.666656494
300.39951	316.666656494
300.40552	340.000000000
300.41153	344.000000000
300.41754	324.333312988
300.42355	302.333312988
300.42953	280.666656494
300.43555	288.000000000
300.44156	298.666656494
300.44757	275.000000000
300.45358	287.000000000
300.45956	297.333312988
300.46558	283.666656494
300.47159	282.333312988
300.47760	268.000000000
300.48361	295.000000000
300.48959	274.333312988
300.49561	274.666656494
300.50162	283.666656494
300.50763	277.000000000
300.51364	303.333312988
300.51962	280.000000000
300.52563	270.666656494
300.53165	276.333312988
300.53766	286.000000000
300.54364	279.666656494
300.54965	300.333312988
300.55566	280.333312988
300.56168	271.000000000
300.56766	266.666656494
300.57367	286.000000000
300.57968	270.000000000
300.58569	284.000000000
300.59167	269.666656494
300.59769	282.666656494
300.60370	288.666656494
300.60968	297.000000000
300.61569	273.666656494
300.62170	281.666656494
300.62772	281.000000000
300.63370	301.000000000
300.63971	301.333312988
300.64572	274.333312988
300.65170	277.666656494
300.65771	264.000000000
300.66373	290.333312988
300.66971	274.000000000
300.67572	262.000000000
300.68173	261.000000000
300.68771	267.000000000
300.69373	284.000000000
300.69974	294.333312988
300.70572	259.000000000
300.71173	283.333312988
300.71774	264.666656494
300.72372	284.333312988
300.72974	277.000000000
300.73575	287.000000000
300.74173	292.666656494
300.74774	287.666656494
300.75372	306.000000000
300.75974	279.000000000
300.76575	278.000000000
300.77173	296.666656494
300.77774	275.666656494
