U_f	I_f	U_a	I_a
4.261249	1.804863	-6.58	0.00136878894
4.2616	1.804839	-5.986000000000001	0.000486517757
4.263284	1.804895	-5.578	0.000344273435
4.262378	1.80493	-4.9866	0.000453645112
4.258985	1.804881	-4.5852	0.000143748341
4.258804	1.804846	-4.09	0.000481122902
4.258134	1.804821	-3.5916	0.00355883815
4.257474	1.804885	-2.9934000000000003	0.00189725577
4.257944	1.804863	-2.595	0.00125059259
4.258843	1.804892	-2.0936	0.00230332481
4.26144	1.804902	-1.6	0.00155448635
4.262031	1.804895	-1.104	0.0102083065
4.262194	1.804849	-0.6058000000000001	0.0349725671
4.260642	1.804895	-0.10699999999999998	0.115775614
4.260544	1.804856	0.391	0.301444408
4.261329	1.804948	0.8897999999999997	0.932722564
4.261398	1.804895	1.388	1.36360858
4.260034	1.804909	1.8860000000000001	2.01244181
4.260444	1.804871	2.384	2.79785157
4.262256	1.804899	2.7887999999999997	3.5971904
4.261308	1.80492	3.2819999999999996	4.37112408
4.259374	1.804899	3.8800000000000003	5.09997342
4.259374	1.804902	4.380000000000001	5.78383298
4.2587	1.804867	4.880000000000001	6.39478266
4.258489	1.804888	5.380000000000001	6.93745154
4.259197	1.804906	5.779999999999999	7.40305082
4.2587	1.804846	6.380000000000001	7.79977334
4.258999	1.804927	6.880000000000001	8.12963421
4.25918	1.804888	7.2780000000000005	8.45398186
4.259569	1.804853	7.876000000000001	8.71760517
4.259749	1.804863	8.370000000000001	8.95703235
4.259423	1.804853	8.870000000000001	9.16645154
4.259746	1.804927	9.370000000000001	9.35429173
4.259822	1.804867	9.870000000000001	9.50802752
4.258957	1.80486	10.370000000000001	9.64588164
4.259172	1.804899	10.870000000000001	9.76608272
4.258988	1.804945	11.370000000000001	9.87778049
4.258853	1.804888	11.870000000000001	10.0350393
4.25961	1.80486	12.268	10.0625865
4.259551	1.804856	12.860000000000001	10.1320896
4.259583	1.804899	13.360000000000001	10.1900382
4.260273	1.804927	13.860000000000001	10.2457637
4.260169	1.804832	14.360000000000001	10.3012031
4.259951	1.80486	14.860000000000001	10.3445541
4.260072	1.804881	15.360000000000001	10.3830935
4.260461	1.804941	15.860000000000001	10.421302
4.260551	1.804895	16.36	10.4541477
4.262287	1.804888	16.852	10.4823728
4.261506	1.804881	17.349999999999998	10.5129397
4.261252	1.804885	17.849999999999998	10.5404808
4.260645	1.804874	18.349999999999998	10.5750335
4.250714	1.804849	23.509999999999998	10.5248347
4.250391	1.804765	43.422	11.1690302
4.250106	1.804842	73.30000000000001	11.4274494
4.25087	1.804835	98.2	11.5699006
4.250832	1.804772	123.10000000000001	11.6901111
4.250464	1.804821	148.0	11.7849063
4.250634	1.804807	172.96	11.8675692
4.250554	1.804888	197.9	11.9395868
4.250381	1.804828	222.76000000000002	12.0083023
4.250432	1.804796	247.70000000000002	12.0700721
4.249513	1.804846	272.59999999999997	12.1282925
4.249228	1.804842	297.5	12.1862511
4.249006	1.804786	317.41999999999996	12.2378152
4.249099	1.804779	347.29999999999995	12.2877516
4.248842	1.804803	372.2	12.3353585
4.248842	1.804817	397.09999999999997	12.3789544
4.248766	1.804765	422.4	12.4228457
4.248804	1.804817	447.4	12.4669861
4.248888	1.804736	472.4	12.5116517
4.249127	1.804779	496.4	12.550262
