U_f,I_f,U_a,I_a,lnI_a,sqrtU_a
4.261,1.805,-6.58,0.001,-20.409,
4.262,1.805,-5.986,0.0,-21.444,
4.263,1.805,-5.578,0.0,-21.79,
4.262,1.805,-4.987,0.0,-21.514,
4.259,1.805,-4.585,0.0,-22.663,
4.259,1.805,-4.09,0.0,-21.455,
4.258,1.805,-3.592,0.004,-19.454,
4.257,1.805,-2.993,0.002,-20.083,
4.258,1.805,-2.595,0.001,-20.5,
4.259,1.805,-2.094,0.002,-19.889,
4.261,1.805,-1.6,0.002,-20.282,
4.262,1.805,-1.104,0.01,-18.4,
4.262,1.805,-0.606,0.035,-17.169,
4.261,1.805,-0.107,0.116,-15.972,
4.261,1.805,0.391,0.301,-15.015,0.625
4.261,1.805,0.89,0.933,-13.885,0.943
4.261,1.805,1.388,1.364,-13.505,1.178
4.26,1.805,1.886,2.012,-13.116,1.373
4.26,1.805,2.384,2.798,-12.787,1.544
4.262,1.805,2.789,3.597,-12.535,1.67
4.261,1.805,3.282,4.371,-12.34,1.812
4.259,1.805,3.88,5.1,-12.186,1.97
4.259,1.805,4.38,5.784,-12.06,2.093
4.259,1.805,4.88,6.395,-11.96,2.209
4.258,1.805,5.38,6.937,-11.879,2.319
4.259,1.805,5.78,7.403,-11.814,2.404
4.259,1.805,6.38,7.8,-11.761,2.526
4.259,1.805,6.88,8.13,-11.72,2.623
4.259,1.805,7.278,8.454,-11.681,2.698
4.26,1.805,7.876,8.718,-11.65,2.806
4.26,1.805,8.37,8.957,-11.623,2.893
4.259,1.805,8.87,9.166,-11.6,2.978
4.26,1.805,9.37,9.354,-11.58,3.061
4.26,1.805,9.87,9.508,-11.563,3.142
4.259,1.805,10.37,9.646,-11.549,3.22
4.259,1.805,10.87,9.766,-11.537,3.297
4.259,1.805,11.37,9.878,-11.525,3.372
4.259,1.805,11.87,10.035,-11.509,3.445
4.26,1.805,12.268,10.063,-11.507,3.503
4.26,1.805,12.86,10.132,-11.5,3.586
4.26,1.805,13.36,10.19,-11.494,3.655
4.26,1.805,13.86,10.246,-11.489,3.723
4.26,1.805,14.36,10.301,-11.483,3.789
4.26,1.805,14.86,10.345,-11.479,3.855
4.26,1.805,15.36,10.383,-11.475,3.919
4.26,1.805,15.86,10.421,-11.472,3.982
4.261,1.805,16.36,10.454,-11.469,4.045
4.262,1.805,16.852,10.482,-11.466,4.105
4.262,1.805,17.35,10.513,-11.463,4.165
4.261,1.805,17.85,10.54,-11.46,4.225
4.261,1.805,18.35,10.575,-11.457,4.284
4.251,1.805,23.51,10.525,-11.462,4.849
4.25,1.805,43.422,11.169,-11.402,6.59
4.25,1.805,73.3,11.427,-11.379,8.562
4.251,1.805,98.2,11.57,-11.367,9.91
4.251,1.805,123.1,11.69,-11.357,11.095
4.25,1.805,148.0,11.785,-11.349,12.166
4.251,1.805,172.96,11.868,-11.342,13.151
4.251,1.805,197.9,11.94,-11.336,14.068
4.25,1.805,222.76,12.008,-11.33,14.925
4.25,1.805,247.7,12.07,-11.325,15.738
4.25,1.805,272.6,12.128,-11.32,16.511
4.249,1.805,297.5,12.186,-11.315,17.248
4.249,1.805,317.42,12.238,-11.311,17.816
4.249,1.805,347.3,12.288,-11.307,18.636
4.249,1.805,372.2,12.335,-11.303,19.292
4.249,1.805,397.1,12.379,-11.3,19.927
4.249,1.805,422.4,12.423,-11.296,20.552
4.249,1.805,447.4,12.467,-11.292,21.152
4.249,1.805,472.4,12.512,-11.289,21.735
4.249,1.805,496.4,12.55,-11.286,22.28
