U_f    I_f    U_a    I_a
4.625353    1.905246    -4.98    0.0019082907
4.626812    1.905193    -4.49    0.000879982453
4.624169    1.905179    -4.09    0.00264609422
4.62353    1.905281    -3.99    0.00205852921
4.625933    1.905274    -3.49    0.00225184482
4.625978    1.905274    -3.0884    0.00322105489
4.626461    1.905235    -2.4932    0.000897572947
4.626652    1.905274    -1.991    0.00151561071
4.626165    1.905277    -1.493    0.00107906892
4.625988    1.90533    -0.995    0.0036770345
4.626791    1.905246    -0.4956    0.0101373887
4.625277    1.905274    -0.0992    0.0384028933
4.625093    1.905267    0.3968    0.16125
4.624166    1.905334    0.9942    0.526059732
4.622912    1.90538    1.3934    1.25180129
4.623988    1.905299    1.991    2.41011147
4.623228    1.905316    2.489    4.02580784
4.623759    1.905299    2.988    6.02423435
4.623277    1.905302    3.486    8.20877567
4.621777    1.905299    3.8892    10.7060651
4.619332    1.905288    4.486    12.9606693
4.617245    1.905291    4.882    14.6447807
4.616127    1.905228    5.48    16.2971642
4.614964    1.905224    5.98    17.7102616
4.614332    1.905284    6.48    19.0089579
4.61346    1.905253    6.98    20.0350782
4.611988    1.905263    7.38    20.9942746
4.612585    1.905228    7.98    21.8368208
4.612109    1.905242    8.48    22.6058898
4.611432    1.905277    8.974    23.3204615
4.610248    1.905253    9.47    23.8920883
4.609009    1.905235    9.97    24.6235227
4.60897    1.905193    10.47    24.8867712
4.608672    1.905228    10.97    25.2336881
4.607651    1.905373    11.47    25.5495424
4.607522    1.905246    11.87    25.8185345
4.607141    1.905267    12.47    26.0594299
4.607005    1.905337    12.97    26.2743098
4.606786    1.905284    13.47    26.4499148
4.606224    1.905231    13.96    26.6227262
4.605578    1.905376    14.96    26.8641188
4.604953    1.90533    15.46    26.9655036
4.605036    1.905179    15.86    27.0641538
4.604811    1.905288    16.46    27.1611324
4.604894    1.90532    16.96    27.243244
4.604387    1.905327    17.36    27.3326898
4.601918    1.905214    17.86    27.4280111
4.602533    1.905161    18.452    27.4899852
4.602644    1.905164    18.95    27.553728
4.603067    1.905242    19.35    27.6081567
4.603658    1.905281    19.95    27.6645382
4.6122    1.905203    25.098    28.1189406
4.614759    1.905235    50    29.0488592
4.61512    1.905231    69.92    29.5675752
4.614967    1.905175    99.8    29.9266117
4.614988    1.905249    124.7    30.208505
4.616592    1.905193    149.6    30.4476386
4.622308    1.9052    174.5    30.661338
4.615877    1.905277    199.46    30.8445754
4.616377    1.905203    224.3    31.0112353
4.613647    1.905217    249.3    31.1750475
4.613766    1.905171    269.22    31.3165363
4.614735    1.905221    299.1    31.4597389
4.613203    1.905154    324    31.5887635
4.612523    1.905154    343.92    31.7160811
4.612724    1.905157    373.8    31.8374549
4.612821    1.905203    399    31.9492606
4.613474    1.905196    419    32.0620592
4.613457    1.905122    449    32.1666725
4.614606    1.905157    488.2    32.3725043
