U_f    I_f    U_a    I_a
4.23821    1.804927    19.95    10.6919682
4.274677    1.814819    19.95    11.7798693
4.3104    1.824869    19.95    12.9817779
4.347922    1.83504    19.95    14.3035651
4.387653    1.845147    19.95    15.7706134
4.427144    1.855155    19.95    17.3474791
4.465017    1.865149    19.95    19.0846244
4.503692    1.87508    19.95    20.9746317
4.541322    1.884996    19.95    23.0274449
4.573764    1.894913    19.95    25.26785
4.610929    1.905157    19.95    27.7144027
