U_f,I_f,U_a,I_a,R,T,x,y
4.238,1.805,19.95,10.692,2.348,1347.276,7.422,-25.858
4.275,1.815,19.95,11.78,2.355,1351.256,7.401,-25.767
4.31,1.825,19.95,12.982,2.362,1354.859,7.381,-25.675
4.348,1.835,19.95,14.304,2.369,1358.872,7.359,-25.584
4.388,1.845,19.95,15.771,2.378,1363.54,7.334,-25.493
4.427,1.855,19.95,17.347,2.386,1368.155,7.309,-25.404
4.465,1.865,19.95,19.085,2.394,1372.257,7.287,-25.315
4.504,1.875,19.95,20.975,2.402,1376.593,7.264,-25.227
4.541,1.885,19.95,23.027,2.409,1380.591,7.243,-25.139
4.574,1.895,19.95,25.268,2.414,1383.053,7.23,-25.05
4.611,1.905,19.95,27.714,2.42,1386.615,7.212,-24.963
