tau,tk_1,tk_2,t0_1,t0_2,tk,t0,tk-t0
1.22566,12.5,12.5,21.0,21.0,12.5,21.0,-8.5
3.23,12.5,12.5,21.0,21.0,12.5,21.0,-8.5
5.23423,12.5,12.5,21.0,21.0,12.5,21.0,-8.5
7.2398,12.5,12.5,21.1,21.1,12.5,21.1,-8.600000000000001
9.24261,12.6,12.5,21.1,21.1,12.55,21.1,-8.55
11.2557,12.6,12.5,21.1,21.0,12.55,21.05,-8.5
13.2605,12.6,12.6,21.0,21.0,12.6,21.0,-8.4
15.2674,12.6,12.6,21.0,21.0,12.6,21.0,-8.4
17.2727,12.7,12.6,21.0,21.0,12.649999999999999,21.0,-8.350000000000001
19.2765,12.7,12.7,21.0,21.0,12.7,21.0,-8.3
21.2792,12.7,12.7,21.0,21.0,12.7,21.0,-8.3
23.2823,12.8,12.7,21.0,21.0,12.75,21.0,-8.25
25.2885,12.8,12.8,20.9,20.9,12.8,20.9,-8.099999999999998
27.2931,12.8,12.8,20.9,20.9,12.8,20.9,-8.099999999999998
29.2978,12.9,12.8,20.9,20.9,12.850000000000001,20.9,-8.049999999999997
31.3041,12.9,12.9,20.9,20.9,12.9,20.9,-7.999999999999998
33.3098,12.9,12.9,20.9,20.9,12.9,20.9,-7.999999999999998
35.3164,13.0,12.9,20.9,20.9,12.95,20.9,-7.949999999999999
37.3216,13.0,13.0,20.9,20.9,13.0,20.9,-7.899999999999999
39.3256,13.0,13.0,20.9,20.9,13.0,20.9,-7.899999999999999
41.3282,13.1,13.0,20.9,20.9,13.05,20.9,-7.849999999999998
43.3323,13.1,13.1,20.9,20.9,13.1,20.9,-7.799999999999999
45.3384,13.1,13.1,20.9,20.9,13.1,20.9,-7.799999999999999
47.3411,13.2,13.1,20.9,20.9,13.149999999999999,20.9,-7.75
49.3456,13.2,13.1,20.9,20.9,13.149999999999999,20.9,-7.75
51.3494,13.2,13.2,20.9,20.9,13.2,20.9,-7.699999999999999
53.3549,13.3,13.2,20.9,20.9,13.25,20.9,-7.649999999999999
55.36,13.3,13.2,20.8,20.8,13.25,20.8,-7.550000000000001
57.3645,13.3,13.3,20.8,20.8,13.3,20.8,-7.5
59.3704,13.4,13.3,20.8,20.8,13.350000000000001,20.8,-7.449999999999999
61.375,13.4,13.3,20.8,20.8,13.350000000000001,20.8,-7.449999999999999
63.3797,13.4,13.4,20.8,20.8,13.4,20.8,-7.4
65.3848,13.5,13.4,20.8,20.8,13.45,20.8,-7.350000000000001
67.39,13.5,13.4,20.8,20.8,13.45,20.8,-7.350000000000001
